time,ongoing_trips,date_snapshot
2025-03-02 23:00:00,57,20250224
2025-03-03 00:00:00,18,20250224
2025-03-03 01:00:00,2,20250224
2025-03-03 02:00:00,0,20250224
2025-03-03 03:00:00,0,20250224
2025-03-03 04:00:00,0,20250224
2025-03-03 05:00:00,60,20250224
2025-03-03 06:00:00,204,20250224
2025-03-03 07:00:00,319,20250224
2025-03-03 08:00:00,323,20250224
2025-03-03 09:00:00,264,20250224
2025-03-03 10:00:00,262,20250224
2025-03-03 11:00:00,262,20250224
2025-03-03 12:00:00,262,20250224
2025-03-03 13:00:00,264,20250224
2025-03-03 14:00:00,268,20250224
2025-03-03 15:00:00,264,20250224
2025-03-03 16:00:00,281,20250224
2025-03-03 17:00:00,334,20250224
2025-03-03 18:00:00,317,20250224
2025-03-03 19:00:00,277,20250224
2025-03-03 20:00:00,257,20250224
2025-03-03 21:00:00,235,20250224
2025-03-03 22:00:00,202,20250224
2025-03-03 23:00:00,134,20250224
2025-03-04 00:00:00,39,20250224
2025-03-04 01:00:00,4,20250224
2025-03-04 02:00:00,0,20250224
2025-03-04 03:00:00,0,20250224
2025-03-04 04:00:00,0,20250224
2025-03-04 05:00:00,60,20250224
2025-03-04 06:00:00,204,20250224
2025-03-04 07:00:00,319,20250224
2025-03-04 08:00:00,323,20250224
2025-03-04 09:00:00,263,20250224
2025-03-04 10:00:00,262,20250224
2025-03-04 11:00:00,262,20250224
2025-03-04 12:00:00,262,20250224
2025-03-04 13:00:00,263,20250224
2025-03-04 14:00:00,267,20250224
2025-03-04 15:00:00,264,20250224
2025-03-04 16:00:00,281,20250224
2025-03-04 17:00:00,334,20250224
2025-03-04 18:00:00,317,20250224
2025-03-04 19:00:00,278,20250224
2025-03-04 20:00:00,256,20250224
2025-03-04 21:00:00,235,20250224
2025-03-04 22:00:00,202,20250224
2025-03-04 23:00:00,134,20250224
2025-03-05 00:00:00,39,20250224
2025-03-05 01:00:00,3,20250224
2025-03-05 02:00:00,0,20250224
2025-03-05 03:00:00,0,20250224
2025-03-05 04:00:00,0,20250224
2025-03-05 05:00:00,0,20250224
2025-03-05 06:00:00,0,20250224
2025-03-05 07:00:00,0,20250224
2025-03-05 08:00:00,0,20250224
2025-03-05 09:00:00,1,20250224
2025-03-05 10:00:00,0,20250224
2025-02-25 04:00:00,0,20250225
2025-02-25 05:00:00,8,20250225
2025-02-25 06:00:00,54,20250225
2025-02-25 07:00:00,90,20250225
2025-02-25 08:00:00,105,20250225
2025-02-25 09:00:00,97,20250225
2025-02-25 10:00:00,88,20250225
2025-02-25 11:00:00,79,20250225
2025-02-25 12:00:00,67,20250225
2025-02-25 13:00:00,61,20250225
2025-02-25 14:00:00,60,20250225
2025-02-25 15:00:00,73,20250225
2025-02-25 16:00:00,105,20250225
2025-02-25 17:00:00,110,20250225
2025-02-25 18:00:00,97,20250225
2025-02-25 19:00:00,94,20250225
2025-02-25 20:00:00,74,20250225
2025-02-25 21:00:00,52,20250225
